Ticker,Sector,Industry,Market_Cap,PE_Ratio,y25td_Return
MMM,Industrials,Industrial Conglomerates,83960119296,26.297836,24.158804178141278
AOS,Industrials,Building Products,9898754048,19.04043,7.075542231109469
ABT,Health Care,Health Care Equipment,188439494656,29.104837,-2.256370067916259
ABBV,Health Care,Biotechnology,395770429440,169.64392,30.196464750550334
ACN,Information Technology,IT Consulting & Other Services,171034296320,22.774567,-19.804590211532435
ADBE,Information Technology,Application Software,124500017152,17.820251,-32.557820084413976
AMD,Information Technology,Semiconductors,410315325440,131.26562,108.92813107658077
AES,Utilities,Independent Power Producers & Energy Traders,10624844800,9.815789,21.351177601966842
AFL,Financials,Life & Health Insurance,57965035520,14.241787,8.20710133946591
A,Health Care,Life Sciences Tools & Services,38541881344,29.748358,2.7088277343677047
APD,Materials,Industrial Gases,57677975552,0.0,-6.093225006580562
ABNB,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",80949796864,31.480953,0.5628274393144547
AKAM,Information Technology,Internet Services & Infrastructure,14855524352,30.281525,8.216311169283491
ALB,Materials,Specialty Chemicals,22854506496,0.0,132.55800778806847
ARE,Real Estate,Office REITs,9925721088,0.0,-36.524683072209854
ALGN,Health Care,Health Care Supplies,12108122112,32.372093,-19.881054781971457
ALLE,Industrials,Building Products,14357872640,22.583221,30.79736346034051
LNT,Utilities,Electric Utilities,17271439360,21.128931,18.58891928924437
ALL,Financials,Property & Casualty Insurance,51322933248,6.317548,3.460814899651225
GOOGL,Communication Services,Interactive Media & Services,4052110278656,32.993095,77.30045310334673
GOOG,Communication Services,Interactive Media & Services,4044064292864,33.102768,76.41723210239235
MO,Consumer Staples,Tobacco,106874658816,12.141222,29.84148340787317
AMZN,Consumer Discretionary,Broadline Retail,2615682007040,34.6082,11.107070801695471
AMCR,Materials,Paper & Plastic Packaging Products & Materials,20645971968,29.615894,-1.7712476357347782
AEE,Utilities,Multi-Utilities,28120651776,19.992308,20.24854272082278
AEP,Utilities,Electric Utilities,63926771712,17.486092,34.42693325467253
AXP,Financials,Consumer Finance,250134872064,24.156588,22.014973342246357
AIG,Financials,Multi-line Insurance,40924266496,13.285972,3.385060268957571
AMT,Real Estate,Telecom Tower REITs,84318003200,28.7193,2.9606176380005462
AWK,Utilities,Water Utilities,25476474880,22.940245,7.975792327437848
AMP,Financials,Asset Management & Custody Banks,46978351104,13.716762,-4.763844118396672
AME,Industrials,Electrical Components & Equipment,50939203584,34.8436,24.513400810947683
AMGN,Health Care,Biotechnology,189179019264,27.17092,39.90883120525935
APH,Information Technology,Electronic Components,203499241472,55.602005,142.76118747852652
ADI,Information Technology,Semiconductors,148771602432,66.62939,46.12753056254815
AON,Financials,Insurance Brokers,71318495232,26.46,-6.2630917306577105
APA,Energy,Oil & Gas Exploration & Production,9241624576,6.179426,17.42746670266917
APO,Financials,Asset Management & Custody Banks,76453265408,19.201166,-19.466048945046907
AAPL,Information Technology,"Technology Hardware, Storage & Peripherals",3816288419840,34.620644,6.392481439124843
AMAT,Information Technology,Semiconductor Materials & Equipment,265050898432,38.463585,105.06529422795903
APP,Information Technology,Application Software,183859118080,64.09906,59.03797750013907
APTV,Consumer Discretionary,Automotive Parts & Equipment,16987443200,59.098484,29.36982275828174
ACGL,Financials,Property & Casualty Insurance,34881167360,8.759137,2.276211308352701
ADM,Consumer Staples,Agricultural Products & Services,32789274624,27.735773,41.16353360790348
ARES,Financials,Asset Management & Custody Banks,48940564480,62.764706,-14.160420352090911
ANET,Information Technology,Communications Equipment,184724537344,55.775665,31.21925148945176
AJG,Financials,Insurance Brokers,62231556096,38.7728,-11.39525531469272
AIZ,Financials,Multi-line Insurance,11961356288,14.454268,13.85067192912334
T,Communication Services,Integrated Telecommunication Services,164458872832,7.491857,6.491663647881077
ATO,Utilities,Gas Utilities,27340263424,22.688591,24.98065079226826
ADSK,Information Technology,Application Software,57103167488,52.05631,-8.601530872880536
ADP,Industrials,Human Resource & Employment Services,103099326464,25.124382,-10.184332596265726
AZO,Consumer Discretionary,Automotive Retail,63203954688,26.52513,16.922768930288463
AVB,Real Estate,Multi-Family Residential REITs,25063684096,21.467073,-15.983079656602936
AVY,Materials,Paper & Plastic Packaging Products & Materials,14449600512,21.243181,4.160263615681419
AXON,Industrials,Aerospace & Defense,48474206208,192.49841,2.3017956199659224
BKR,Energy,Oil & Gas Equipment & Services,55752724480,21.73077,38.85422643221696
BALL,Materials,"Metal, Glass & Plastic Containers",15515207680,22.182878,6.345493671107659
BAC,Financials,Diversified Banks,380971188224,13.692913,20.51997172955548
BAX,Health Care,Health Care Equipment,10060071936,0.0,-31.90696308833957
BDX,Health Care,Health Care Equipment,58054131712,34.948452,-8.251841877369326
BRK-B,Financials,Multi-Sector Holdings,1024022151168,15.174872,5.225007094947822
BBY,Consumer Discretionary,Computer & Electronics Retail,13812057088,21.69637,-19.607238888546792
TECH,Health Care,Life Sciences Tools & Services,10631101440,139.2449,-4.003990100103509
BIIB,Health Care,Biotechnology,25543798784,15.872378,16.079996744791668
BLK,Financials,Asset Management & Custody Banks,171703959552,31.35099,11.006077537208938
BX,Financials,Asset Management & Custody Banks,182107799552,42.769455,-11.946201908517715
XYZ,Financials,Transaction & Payment Processing Services,39373029376,12.9959755,-25.544672809347986
BK,Financials,Asset Management & Custody Banks,82893889536,16.041836,57.65500892319315
BA,Industrials,Aerospace & Defense,191507906560,99.012146,42.29359661751514
BKNG,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",167021428736,33.5574,5.409056211889882
BSX,Health Care,Health Care Equipment,138825482240,50.058823,4.732606273124309
BMY,Health Care,Pharmaceuticals,113106444288,18.707071,3.910839438732311
AVGO,Information Technology,Semiconductors,1577848537088,69.913864,44.75266330658395
BR,Industrials,Data Processing & Outsourced Services,24094902272,26.39642,-7.55805066084187
BRO,Financials,Insurance Brokers,25306109952,23.455696,-25.801724276853644
BF-B,Consumer Staples,Distillers & Vintners,12400116736,15.654971,-25.798648966857318
BLDR,Industrials,Building Products,12969996288,22.256166,-17.389770076759298
BG,Consumer Staples,Agricultural Products & Services,22458884096,13.065242,54.969688610338196
BXP,Real Estate,Office REITs,11537192960,0.0,-7.111879747352609
CHRW,Industrials,Air Freight & Logistics,21314899968,36.52328,79.40206341821508
CDNS,Information Technology,Application Software,86752632832,82.05412,6.957599677579525
CPT,Real Estate,Multi-Family Residential REITs,11638398976,44.097164,-1.3628386110062074
CPB,Consumer Staples,Packaged Foods & Meats,8159934464,14.108248,-31.577673259159443
COF,Financials,Consumer Finance,138024124416,64.42433,23.03673958006992
CAH,Health Care,Health Care Distributors,50854842368,32.23494,83.63598684480965
